"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PKMYT1",0.684625579066845,8.47970265261471,7.24627582763334,3.08575866818723e-12,4.14654755188944e-10,17.3498891717929
"CKAP2L",0.918706554126318,7.46642056087786,7.23530103063704,3.30873834034842e-12,4.41224046317149e-10,17.2825722238073
"CKS1B",0.595225549361897,11.3895755645706,7.22289381973617,3.57997085319627e-12,4.70214367176584e-10,17.2065575560108
"CCNB1",0.708506917419516,9.42193206673295,7.1905632499989,4.39391028980173e-12,5.52210207572276e-10,17.0089211508901
"NCAPH",0.965267731828997,7.56740563535871,7.18607696581218,4.52038401399919e-12,5.6404705957537e-10,16.9815471019676
"HMGB3",0.6791656627689,9.82372056127745,7.17177898657467,4.94785926336476e-12,6.0443463966237e-10,16.8943872293353
"TNFRSF12A",0.772729919181161,9.55620777175752,7.16070929730843,5.30593344772642e-12,6.34858571221458e-10,16.8269931307167
"UBE2C",0.82631156321523,10.269240288633,7.13963064152938,6.05972646078424e-12,7.20118105737686e-10,16.6988713601119
"KCNK1",1.00216435019552,7.35016346864716,7.1381975286522,6.11464272348864e-12,7.21734417139345e-10,16.6901704568399
"SCD",1.05322792523473,9.00346689733882,7.13557356662718,6.21646457088984e-12,7.28828319388421e-10,16.6742427986776
"BUB1",0.635801566402463,6.00410555516868,7.11570302309831,7.0436589060502e-12,8.14872035958881e-10,16.5537650895997
"IMPA2",0.798653823753599,9.08513410360382,7.07445450109261,9.12193582550603e-12,1.02807159313397e-09,16.3044508031868
"STIL",0.609079307499671,9.44679821177294,7.03633211953557,1.15733622119319e-11,1.26359415300148e-09,16.0749728089565
"MAD2L1",0.652353290450987,8.68883149288552,7.02373351350218,1.251802506631e-11,1.34157901768938e-09,15.9993349683748
"DEPDC1B",0.99877062549764,7.29290366639855,7.01073098208812,1.35724940430417e-11,1.44234243787958e-09,15.9213763416454
"TTK",0.866257877121287,9.01647080297887,7.01012915203368,1.36233615118284e-11,1.44234243787958e-09,15.9177705462608
"CCNE2",0.850043661125632,8.28898235225516,7.00192168836949,1.43360759261494e-11,1.49962221768805e-09,15.8686191631852
"KIF18A",0.741326849914169,7.49882812996595,6.99381222926201,1.5076271323015e-11,1.56676980906236e-09,15.8200962461787
"KIF15",0.648627634631221,8.19444183195809,6.9629609806781,1.82518947776649e-11,1.84301936341635e-09,15.63587614913
"RAD51",0.716900285198737,6.81485636803056,6.95173925047254,1.95631607128298e-11,1.96407387639324e-09,15.5690174284135
"MKI67",0.637039158219771,8.5720851274648,6.94715391011524,2.01252408218739e-11,1.99783089291622e-09,15.5417210141415
"KIF18B",0.693406536213509,8.90340811082936,6.92745999922874,2.27254715894066e-11,2.23028799547946e-09,15.4246349717118
"SHCBP1",0.685915652191695,8.38371134324897,6.92150144752209,2.35753731058494e-11,2.28798995992268e-09,15.3892580746874
"CCNA2",0.72733973182271,8.54824908064835,6.9109723169214,2.51542763181659e-11,2.4143958956156e-09,15.3267999910285
"G6PD",0.651225948151829,9.38713544101937,6.89026379244106,2.85689719456099e-11,2.68317941353687e-09,15.2041640350837
"PIMREG",0.636255251511709,7.88992574986505,6.88767499639744,2.90266760737319e-11,2.71158825846001e-09,15.1888523716496
"PTTG1",0.738904708040129,10.6690865990669,6.8831745387686,2.98395879760143e-11,2.76013328663299e-09,15.1622441829673
"GTSE1",0.610564175391727,7.25121239392968,6.85028417411713,3.64997337507009e-11,3.2698146096974e-09,14.9681780388097
"MND1",0.727178309838729,7.43928178674106,6.81539120931306,4.51635337501039e-11,3.96463201548022e-09,14.7630529657942
"VILL",-0.895330007486175,7.17143560972323,-6.79287545283384,5.1796019508663e-11,4.49985221424278e-09,14.6311050987878
"PLK1",0.738905806346387,7.78476293805899,6.78611503553187,5.39680236000857e-11,4.64417440527043e-09,14.5915511632478
"PBK",0.866429401269293,9.16653778116051,6.76902814182757,5.98646785545135e-11,5.12635328269018e-09,14.4917104929412
"PLK4",0.74453377829318,6.66516717810218,6.76558592193574,6.11270059926869e-11,5.20061575469087e-09,14.471620047759
"E2F8",1.01384459833384,7.47677069961338,6.76273872538607,6.2190859543212e-11,5.2231352180787e-09,14.455008237037
"GAS2L3",0.695988052229898,8.07608816633571,6.74524741841933,6.91371906919273e-11,5.69696973677961e-09,14.3530713723308
"AUNIP",0.648751343824829,6.69046816588676,6.70899641672986,8.60487580875767e-11,6.92712329507777e-09,14.1424379963531
"ULBP2",0.664082612206586,6.81986324828878,6.69001484348859,9.64624814490474e-11,7.62490085263986e-09,14.0324884701998
"MCM2",0.629791135674164,10.0670941027652,6.68208957081407,1.01168073732746e-10,7.93959563742544e-09,13.9866514436064
"SKA1",0.846679282406891,6.49517368398215,6.66960208513947,1.09043584619622e-10,8.46614390986742e-09,13.9145114899114
"ORM1",1.57154876350283,5.27553772324323,6.65313434647026,1.20355711109672e-10,9.2620877417395e-09,13.8195338058074
"RHBDL2",0.613593284111202,5.46978801809144,6.64493902479129,1.26407008645638e-10,9.55932482264351e-09,13.7723335609123
"SLC7A5",0.836698394415333,9.56324024783995,6.60914832136105,1.56527164080364e-10,1.14889623080667e-08,13.5667175636478
"PLOD2",0.633222607983505,10.4664141960105,6.58992328679398,1.75508247232203e-10,1.27217990493749e-08,13.456619134568
"SLC6A9",0.874548776261378,6.19064565803289,6.55626973246947,2.14317908658388e-10,1.51575690135764e-08,13.2644795931561
"SPP1",0.965182697391647,8.75428769974339,6.53365507057958,2.45007331586062e-10,1.69171267805412e-08,13.135786921361
"SPC25",0.699259074829579,7.55074595194029,6.51877082692437,2.67517648186059e-10,1.81839136037442e-08,13.0512712068168
"ABCB1",-0.632112725751901,6.7368884540996,-6.51515660602305,2.73282736064742e-10,1.85037833965697e-08,13.0307712136696
"SPAG5",0.659455065567217,9.25474126347527,6.51367155463923,2.75686732206377e-10,1.85944846521745e-08,13.0223504730749
"CDC25C",0.597526838134121,5.54961937262319,6.4411365927491,4.22112999686028e-10,2.71098970276295e-08,12.6128487133042
"CENPW",0.696418730840353,9.94235895315333,6.40872173881896,5.10055904682758e-10,3.19360809996527e-08,12.43099081292
"SETBP1",-0.591444044686273,9.13921647602788,-6.38593763149727,5.82378731429908e-10,3.56967510854353e-08,12.3035890950973
"SLC16A3",0.5919493422283,8.37586388649446,6.36988858249322,6.39263013760118e-10,3.85078813357776e-08,12.2140587243525
"DBNDD1",0.723389298361943,7.99233260718918,6.33442878757915,7.84945590131252e-10,4.60141426644391e-08,12.0168646765677
"TREM1",1.06916291871338,6.64662357805484,6.31543543254526,8.75881505493142e-10,5.00025294753585e-08,11.9115935652653
"CDC6",0.830440817571883,7.99549701685717,6.30843607643035,9.11931535636214e-10,5.17225064806137e-08,11.8728615512285
"ANKRD29",-0.969109926534749,7.430807480647,-6.30071524389512,9.5338443532114e-10,5.35128191738187e-08,11.8301759675976
"GSDMC",0.585955956822052,8.22277042571385,6.29972850478183,9.58813463930692e-10,5.35128191738187e-08,11.8247235950064
"PIR",0.674555928165638,8.85795144817769,6.29009440509048,1.01343694872061e-09,5.602446220633e-08,11.7715239612285
"CDC25A",0.833902278273094,5.61017715744146,6.24417145997177,1.31862457735772e-09,6.98031901268545e-08,11.5188115542526
"LAPTM4B",0.701060824800308,11.8743678902512,6.23027940931428,1.42752184159517e-09,7.48870241766545e-08,11.4426497237052
"ORC6",0.661525681325635,10.0880240058372,6.22890053174103,1.43879921731353e-09,7.50280105291046e-08,11.4350974155634
"MEX3A",0.648636140360606,7.48109992139451,6.18728954016467,1.8233280854679e-09,9.10049095001108e-08,11.2078058166431
"TLCD1",0.738529970612392,8.74516421343846,6.16276659883021,2.09530056760527e-09,1.01444575131165e-07,11.0744156772684
"RAD54L",0.99879841820841,6.95363294659677,6.15602370611343,2.17679555992402e-09,1.05045418884842e-07,11.037811557489
"UHRF1",0.707397395087044,10.2829414528881,6.15536290380357,2.18494696775043e-09,1.0514831564637e-07,11.0342260605237
"NDC80",0.679427833053174,8.66539281968804,6.14778189820197,2.28062718174658e-09,1.08853213764839e-07,10.9931134399683
"CFAP69",-0.625944126211829,6.59005848428843,-6.14137636208211,2.3646575247512e-09,1.12250549727931e-07,10.9584066914635
"RAD51AP1",0.682356003306047,9.31060258567661,6.12936870135899,2.53041800067698e-09,1.1882761304792e-07,10.8934232781028
"NEIL3",0.589380043352587,7.04713003396802,6.11482724635249,2.7464237564327e-09,1.26589120319586e-07,10.8148620266317
"KIF11",0.599196895849552,9.04285007755707,6.093387018066,3.09816906392709e-09,1.40942487962871e-07,10.6992991561325
"C5orf46",1.23360912978275,7.67270516216666,6.0902787062493,3.15269066273358e-09,1.42159744031999e-07,10.68257204435
"ZWINT",0.638957298835294,11.0749967507594,6.07796562070683,3.37804160177877e-09,1.50923296013998e-07,10.6163767583202
"ESPL1",0.585360234487128,8.80585542755335,6.07027742908753,3.52665890674112e-09,1.57161235821073e-07,10.5750988705625
"KIF23",0.603310585088503,8.09165829029582,6.0675856901669,3.5801880944735e-09,1.59140727283352e-07,10.560656733537
"ADAM33",-0.770160042159048,8.09592618100077,-6.04926384509513,3.96624918258237e-09,1.73650142783287e-07,10.4624887653245
"MTFR2",0.667144946342311,6.39960126102789,6.01791561664272,4.72323652843361e-09,2.01244436378553e-07,10.2950738147942
"RAPGEF3",-0.637137604718622,6.49773937250948,-6.00756208861658,5.00298365700894e-09,2.12128935690022e-07,10.2399331873936
"MMP1",1.68048206469361,8.43967474474912,5.97851047692635,5.87726421657111e-09,2.44452210950668e-07,10.0856155191756
"GPT2",0.634320796343542,8.26991378320014,5.96405578217462,6.36622194156621e-09,2.59234338221958e-07,10.0090572613933
"SDC1",0.615407010926436,11.5582293820669,5.94273442480083,7.16077042926684e-09,2.87566663514626e-07,9.89640115614525
"C7",-0.946382473664055,6.79430281817569,-5.9363069623162,7.41874454330445e-09,2.9454101915224e-07,9.86250368481486
"RECQL4",0.685214382430205,8.19832979482317,5.92946394377657,7.70337464956787e-09,3.04457583152265e-07,9.82644697847888
"PITX1",1.00779209640302,5.65521039421714,5.90179558194416,8.96697175393377e-09,3.46557587543073e-07,9.68099959150936
"ADORA2B",0.919539954722336,6.9559171737942,5.90098733330112,9.0067737408377e-09,3.47327440350317e-07,9.67675900064049
"MGST1",0.694816638875549,10.0493139243293,5.89534823354916,9.28931083384086e-09,3.57433856732084e-07,9.64718566741521
"TSPAN7",-0.608923714380394,8.76546932245552,-5.88900726217528,9.61735685417777e-09,3.66025287332531e-07,9.61395866169667
"KANK3",-0.704244812432699,6.41331679182538,-5.88078009582519,1.00598856108302e-08,3.78741684774985e-07,9.57089081175626
"EVL",-0.756722118578944,11.338901884968,-5.87730471672274,1.02527391861559e-08,3.84345709963428e-07,9.55271234988764
"CDT1",0.730110220054098,7.25418045225988,5.87682495372177,1.02796438468219e-08,3.84529118544181e-07,9.55020356177234
"FREM1",-0.622799956207702,6.21609898702935,-5.78168695016569,1.72297830575929e-08,6.01974160466179e-07,9.05597767919053
"S100A9",1.51880425950528,9.79196517180044,5.73666337458339,2.19510665752942e-08,7.40276413134778e-07,8.82436898149959
"SEC31B",-0.735320854358436,7.50409184919988,-5.7269336744781,2.31260660143217e-08,7.73925760927559e-07,8.77451139384121
"MMP12",1.22973880652554,7.69322381347821,5.71242473459486,2.49929229482846e-08,8.28699841822532e-07,8.70029181104474
"ABCA6",-0.589535043648522,7.4540804122878,-5.66959160768472,3.14028049257883e-08,1.00682684539691e-06,8.48207841865293
"TMEM178A",-0.635717753667474,7.72955755761963,-5.65526762885593,3.38842769819609e-08,1.07427302104877e-06,8.40940458282313
"GPIHBP1",-0.931750652184992,5.71518921283873,-5.61846189933405,4.1169374383454e-08,1.25952329440378e-06,8.2233588896655
"IL33",-1.07960287370539,7.77132302976246,-5.61622396536668,4.16584516846565e-08,1.2665840919922e-06,8.2120787218891
"FXYD1",-0.695627645515883,7.77752542085405,-5.61530751937021,4.18603606061969e-08,1.26954624900982e-06,8.2074604975163
"CP",1.23411981691426,7.73899676557867,5.58429348012487,4.92843904982633e-08,1.45185331806773e-06,8.05153745114945
"ASS1",0.767047312356903,8.38185979660029,5.57920118462955,5.06200786724715e-08,1.48869049550405e-06,8.02600384355125
"TOP2A",0.878782579962211,8.27317677404865,5.56842748540725,5.3563166852356e-08,1.56470729388597e-06,7.97204597108423
"MICU3",-0.652084553601391,7.68116041613148,-5.55616065145623,5.71171587316483e-08,1.6465010658138e-06,7.91071468356492
"P2RY6",0.661376961351173,7.58139112908772,5.55365160676616,5.7871861358478e-08,1.66003866349959e-06,7.89818378794411
"IBSP",1.08728422893777,6.17748620304682,5.54715462123696,5.98715020088144e-08,1.70448468055628e-06,7.86575765964686
"PLCH1",0.64978111107204,5.64387510984812,5.54010316510723,6.21179045097218e-08,1.75588620368985e-06,7.83059964417743
"ORC1",0.837599493663048,5.82645451420362,5.52566201551605,6.69774040406762e-08,1.86764707964529e-06,7.75871245954066
"DDIAS",0.593617797244683,7.95571241002093,5.51514495912898,7.074725201169e-08,1.95551225536742e-06,7.70645676825804
"WNT7B",0.68008160006586,5.37241800898248,5.51413308624844,7.11206608924352e-08,1.96272800178507e-06,7.70143345566643
"FUT3",0.697764235909787,6.39290226042293,5.48300591158703,8.35921122467143e-08,2.24662990552179e-06,7.54727940558345
"PLAU",0.598543266967081,10.3818571563747,5.48300077760462,8.35943350271432e-08,2.24662990552179e-06,7.5472540397031
"LRP12",0.602782489976685,7.0492330010056,5.46591146852191,9.13208806757715e-08,2.42076550003802e-06,7.46292867080679
"SOX11",1.13139577226378,7.71414032178672,5.41049440032365,1.21459388547197e-07,3.08846296729401e-06,7.19098408618794
"VLDLR",0.637164242107355,8.80403082291534,5.40782412100015,1.23133033315341e-07,3.11740718693578e-06,7.1779386405305
"CHRNA5",0.645750837782145,6.51800118495915,5.40614542265435,1.24196639360035e-07,3.13524724419141e-06,7.16974023476736
"RPL39L",0.601939036146059,8.28113669458501,5.36254975938395,1.5516657900947e-07,3.81238392224533e-06,6.95757206520897
"MYOCD",-0.691834686204032,5.87476912678799,-5.34819020801238,1.6692133585414e-07,4.02025546560096e-06,6.88800227510314
"GIPC2",-0.604306636718684,5.86261775853434,-5.34412491291897,1.70403370937717e-07,4.08897869081179e-06,6.8683348919642
"TEDC2",0.86906709524911,5.6743598372258,5.34048825837333,1.73577969957824e-07,4.13674427993618e-06,6.85075182218597
"TGFBR3",-0.737311124679897,9.7239569159667,-5.33268533482593,1.80584526071207e-07,4.27456786712456e-06,6.81305883201966
"CAVIN2",-0.658520849126059,7.11636599988307,-5.3303310367364,1.82751950814591e-07,4.30835874329298e-06,6.8016951654628
"ASPM",0.588964855370858,6.91118880171733,5.32862766830384,1.84335842853107e-07,4.33984210080988e-06,6.7934760100906
"TICRR",0.681691335324427,6.11478173312518,5.32468856984257,1.88049875385866e-07,4.41538074343507e-06,6.77447735736868
"MVD",0.800257764633677,5.44278426171036,5.31921680048288,1.93329806127997e-07,4.53325957483218e-06,6.74810601924063
"FADS2",0.67835254115186,6.77604883845063,5.30465507857259,2.08091950763414e-07,4.82890878463426e-06,6.6780361650257
"AQP9",1.1329911187427,5.90401749740057,5.30359380998142,2.09209603171448e-07,4.84063914940665e-06,6.67293572346925
"RERGL",-1.26184099974969,5.41784519498,-5.30322771886214,2.09596494405453e-07,4.84317613858314e-06,6.67117649344756
"TPD52L1",0.641377071846957,10.3384490366612,5.26055192296468,2.59790898808072e-07,5.89463721183745e-06,6.46679958003817
"XRCC3",0.739786981699573,5.63148961059372,5.23051371024326,3.01924871946191e-07,6.71888609939873e-06,6.32377817160754
"CHAC1",0.701775182133813,6.31388031566574,5.17896645650378,3.901491965867e-07,8.43504494452113e-06,6.07995641856646
"TRIB3",0.634819742045592,8.13384133655896,5.1653655434201,4.17312660656373e-07,8.89028642561729e-06,6.01596369780279
"TMEM26",-0.946824976707561,5.21044616551233,-5.15750025538514,4.33848324104816e-07,9.22006858124943e-06,5.97902229406515
"CXCL8",0.934629143277579,6.96216530945324,5.15542652520526,4.38312755821715e-07,9.30362762023031e-06,5.96929041571894
"SCUBE2",-1.35674857817386,10.5186025544512,-5.11883918306521,5.24804806869188e-07,1.09140656799974e-05,5.79813439385941
"CALB2",0.628031449924129,8.11279853754017,5.08666606675874,6.14345067870234e-07,1.23926027605371e-05,5.64848391828439
"PHGDH",0.641525315505804,9.1205938908863,5.06859363768362,6.70954827246496e-07,1.33495556687574e-05,5.56477378410521
"TMEM40",0.602135973332858,6.66108966709288,5.0611449411387,6.95728465501782e-07,1.37485074251704e-05,5.53034584748707
"ITM2A",-0.602788688467557,9.83684794456169,-5.02601767517484,8.24996257665748e-07,1.58720920981971e-05,5.36856955908006
"STK32B",-1.17255066766044,6.76540405453811,-5.0108952022865,8.87542465092614e-07,1.68894110269094e-05,5.2992203683666
"CENPM",0.657398576456242,8.05201575017032,5.00474192785418,9.14284205019196e-07,1.72853146942428e-05,5.27105360094409
"AURKB",0.661567104894631,6.05447210075766,4.99375253836697,9.63994444993719e-07,1.81661477449787e-05,5.22082306512057
"SLC14A1",-0.789287090213895,5.8020766955857,-4.97760900774481,1.04178809796872e-06,1.93606343440591e-05,5.1472053338038
"CCL7",0.937250493608789,5.22989780348445,4.97148989711422,1.07283376473347e-06,1.98135137443872e-05,5.11935434451108
"NOSTRIN",-0.657829457632072,9.18341140745606,-4.96174296568091,1.12414070575024e-06,2.06711726197379e-05,5.07505206946925
"HPDL",1.02488650017893,4.81083967160441,4.93330080794237,1.28778266796046e-06,2.3294019163856e-05,4.946201851734
"MAP3K21",0.677029337512452,7.9648943177043,4.91941541926025,1.37581214303609e-06,2.45496040109269e-05,4.88352870366148
"TMSB15A",0.793470741561194,8.44274314249724,4.91912094986047,1.37774054416106e-06,2.45589281285199e-05,4.88220123000793
"CD24",0.731512614179769,13.280856134623,4.91499573871979,1.40503151103907e-06,2.49182695089762e-05,4.86361188493857
"DNALI1",-1.07264876558283,8.1359831396934,-4.90815869554317,1.45141689101667e-06,2.56627547258808e-05,4.83283182009933
"HEPACAM2",-1.06849045657639,6.79765383704247,-4.90563340362713,1.46892081179787e-06,2.58675178037268e-05,4.82147239238638
"GGH",0.667940541008894,9.99440188433548,4.90529907413281,1.47125342681558e-06,2.5882503638511e-05,4.81996886749005
"ZBTB16",-0.740198169052141,8.13656541023851,-4.89165439977227,1.56956530702487e-06,2.73184445234112e-05,4.75868220814294
"IGFBPL1",0.873631082155642,5.44532626632004,4.87853732180785,1.67003840671683e-06,2.87711054506276e-05,4.69990397573892
"WNK4",-0.824886513539651,6.29306724014469,-4.83560146701318,2.04422732126404e-06,3.45030020049871e-05,4.50845908791048
"TMEM45A",0.597080426475637,10.7236606400274,4.82838112634808,2.11462777198099e-06,3.55538330594186e-05,4.47640823395258
"CCR6",-0.727618441373911,6.4564365109359,-4.7936044695991,2.4877910110507e-06,4.11156302479136e-05,4.32261647599601
"GABRE",0.8800576615196,7.85150605078492,4.79287002910502,2.49631895003864e-06,4.12175763121219e-05,4.31937896428278
"INMT",-0.662298470113832,7.21438601900137,-4.76769831810301,2.80625158460782e-06,4.5349129446359e-05,4.2086787550895
"PLAAT1",0.7381368393001,7.01678018353812,4.7544770118192,2.98357832471941e-06,4.76457681088967e-05,4.15073672352961
"CPLX1",-0.704388254856497,7.86123453409781,-4.73309426204632,3.29344312150738e-06,5.17384513395796e-05,4.05732330700121
"MFAP4",-0.980294965072893,8.23255300490852,-4.7247063468123,3.42327329245461e-06,5.35372973553174e-05,4.02077956763254
"KIFC1",0.966058923227302,7.73231388514639,4.69866336655062,3.85855081552668e-06,5.9151217726844e-05,3.90767742604933
"COL11A1",1.06475362354078,10.1631628947088,4.68473140757224,4.11280925929326e-06,6.22931883770222e-05,3.84739596651206
"B3GALT2",-0.612210511288569,3.27381326926872,-4.67440697199809,4.3115570608725e-06,6.48738934508024e-05,3.80282444145714
"FBN3",0.700239094995849,4.96085233319369,4.61241723789645,5.71388621496656e-06,8.27660682332097e-05,3.53701666597986
"CACNA2D2",-0.642094385455514,7.69589093270313,-4.59304763090005,6.23558094688975e-06,8.87769874174548e-05,3.45459819587127
"ERBB4",-0.659799264990296,7.29307558540298,-4.58069323019606,6.59192854412166e-06,9.31669900786904e-05,3.4021885818452
"MMRN1",-0.782847303531589,6.19037764392512,-4.57553755352222,6.74635528709782e-06,9.48889537120062e-05,3.38035389475389
"TMEM38A",0.781956111914023,5.06208415762418,4.57127019107867,6.87679853009764e-06,9.65681619953984e-05,3.36229761301897
