"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SENP7",-0.741948490857199,8.4667746794143,-14.4771743178226,3.05611084166201e-43,8.73581514315758e-41,87.412601491637
"ESR1",-3.33372115986438,11.6644629057498,-14.451931472201,4.13790468900076e-43,1.16309604299996e-40,87.112558493533
"CALCOCO1",-0.674661783597506,10.4142508548153,-14.3999962933817,7.71072791022645e-43,2.09744235816079e-40,86.4963159337129
"ZNF709",-0.69483072586009,6.76240323054968,-14.3870670949705,9.00103296484299e-43,2.40956223733456e-40,86.3431280713572
"DNALI1",-2.51235533294405,8.67072321497301,-14.3724328018896,1.07227006144746e-42,2.82559915411117e-40,86.1698463349874
"PDXK",0.808378626068256,11.2537966770283,14.3544244954903,1.32975702943999e-42,3.45020804638545e-40,85.9567718265365
"RABEP1",-1.02153875672548,11.51491644456,-14.3318216441012,1.74172675784034e-42,4.44966456933715e-40,85.6895820956071
"ZNF546",-0.765587743414064,6.10631482005656,-14.3305798856568,1.76772917963587e-42,4.44966456933715e-40,85.6749111834914
"TSHZ1",-0.742895992833782,9.33378914822874,-14.3145113137142,2.14122498692143e-42,5.31055285359264e-40,85.4851421784153
"ERBB4",-3.0787548152581,8.39409966161951,-14.2716567698246,3.56765359623277e-42,8.65971322003423e-40,84.9797157931567
"S100A10",1.15153672759167,11.5818486088484,14.2699573598241,3.64054298934035e-42,8.65971322003423e-40,84.9596934875289
"IKZF5",-0.60928576205316,9.0395053656927,-14.2048497307849,7.8915991722033e-42,1.84849750054456e-39,84.1937840256993
"VEGFA",0.935682873625046,10.8613392078426,14.1336414035643,1.83441694376507e-41,4.23800572008189e-39,83.3587581248999
"RALGPS1",-0.867548887825184,8.28873753492602,-14.113248909191,2.33445543959471e-41,5.32035013361687e-39,83.1201374470654
"CENPW",1.31523637905108,7.20062080715051,14.100827455037,2.70336153901801e-41,6.05925400116086e-39,82.9749011930734
"CEP120",-0.660290448956163,8.9037865202252,-14.0999806996023,2.7305265584834e-41,6.05925400116086e-39,82.9650037073698
"ZNF442",-0.988600535192577,5.15880494606342,-14.0909252057897,3.03859954143632e-41,6.65532224237969e-39,82.8591812950827
"DNAJB11",0.617020199814098,10.4237218522406,14.0768715462432,3.58663394315502e-41,7.75494633991147e-39,82.6950398982873
"CPEB3",-0.799797572240361,7.1920220913719,-14.0668973477174,4.03429863579014e-41,8.61246158134186e-39,82.5786111836323
"SHMT2",0.651196468672913,10.6886392956549,14.0612228428018,4.31338599815107e-41,9.00990037703454e-39,82.5123972699485
"ANKRA2",-0.713017317449827,8.11561603263202,-14.0609492712051,4.32731651669017e-41,9.00990037703454e-39,82.5092055033963
"CASP14",3.11717031554162,2.14071250678373,14.0245463949322,6.6434687304403e-41,1.36636707486434e-38,82.0848615555788
"NBR1",-0.62968013979796,11.7235544857374,-13.9908256162368,9.87574480338674e-41,2.0066799531219e-38,81.6924378452711
"A2ML1",3.41073257399144,3.41355617115277,13.9669167388744,1.30761601096089e-40,2.62535047914946e-38,81.4145824625471
"ARID4A",-0.673225230591418,8.89155970403889,-13.9429956322286,1.73107072862429e-40,3.43464798097044e-38,81.1369035972009
"FAM47E",-1.56062208907481,6.29260916909471,-13.9403272908189,1.78606223088227e-40,3.50255110742203e-38,81.105948980139
"YBX1",0.792721269298045,12.3845720608842,13.9030355614553,2.7639477860781e-40,5.29704311502354e-38,80.673755287952
"MEMO1",0.608272303583385,8.68913415531412,13.9017947119066,2.80436098813131e-40,5.31410652413872e-38,80.659387795219
