StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
GSM519117	1237.60018590112	2660.7868685138	3898.38705441492	0.383488951279773
GSM519118	879.257329009722	1152.42568812271	2031.68301713244	0.619088598707417
GSM519119	1659.71570155951	2302.9461991001	3962.66190065961	0.374758544006026
GSM519120	1386.01021999135	1755.59688503029	3141.60710502165	0.483507791287316
GSM519121	705.160424052004	1627.91047718785	2333.07090123986	0.583751389356892
GSM519122	839.504585662287	1998.04862184132	2837.55320750361	0.522081147885182
GSM519123	1128.90940942495	606.497712123502	1735.40712154845	0.652645974058154
GSM519124	899.072940786721	2519.84048760678	3418.9134283935	0.447486092483006
GSM519125	1584.36714456104	2964.69670273699	4549.06384729803	0.293665650200279
GSM519126	1148.52710711774	2110.76965075777	3259.29675787551	0.468314479698507
GSM519127	1652.93168937261	2402.17031857095	4055.10200794356	0.36214417996909
GSM519128	1581.17078293846	1145.43155059469	2726.60233353315	0.535901814247957
GSM519129	-210.877479309815	1224.72876695819	1013.85128764837	0.729087335210506
GSM519130	718.391958723589	2731.40953519363	3449.80149391722	0.44342678325462
GSM519131	1694.42584547229	1499.58377415917	3194.00961963147	0.476760366769994
GSM519132	1672.05167493797	1495.37126884976	3167.42294378773	0.48018725653843
GSM519133	1509.69578911949	1438.42224540806	2948.11803452755	0.508170811706395
GSM519134	664.216596141693	448.560329038492	1112.77692518019	0.719072251213439
GSM519135	1545.76698581282	1304.94445168715	2850.71143749997	0.520432827673499
GSM519136	1137.62421717937	2193.24706596237	3330.87128314174	0.459005829070289
GSM519137	681.824082864672	2134.2220558868	2816.04613875147	0.524771123774367
GSM519138	1418.56253735098	964.305500033041	2382.86803738402	0.577800911564131
GSM519139	874.112719693428	750.233307349193	1624.34602704262	0.66491048801787
GSM519140	1622.27492314235	2280.02309476496	3902.29801790731	0.382958695373092
GSM519141	1089.65841815626	1656.06851725392	2745.72693541018	0.533529583157558
GSM519142	1223.13054893977	1083.35344730217	2306.48399624194	0.586915623448737
GSM519143	546.881020570647	1511.42510481447	2058.30612538512	0.616014872752322
GSM519144	640.0212405124	1203.71212662436	1843.73336713676	0.640516348057959
GSM519145	1219.38691762845	1408.34071803512	2627.72763566357	0.548098538481648
GSM519146	621.464243156036	520.802121596707	1142.26636475274	0.716057351902047
GSM519147	787.591055990784	1005.80552241981	1793.3965784106	0.64617304404796
GSM519148	1069.50817820692	609.386476369532	1678.89465457646	0.658908545233048
GSM519149	1310.62414844154	1151.87197077368	2462.49611921522	0.568221783325722
GSM519150	1379.38511302172	741.492457836656	2120.87757085838	0.608753836807421
GSM519151	1402.90956098038	2159.22829452925	3562.13785550964	0.428587298198399
GSM519152	597.453156253239	1135.29493329426	1732.74808954749	0.652941651613502
GSM519153	905.942285944168	1259.26044421235	2165.20273015651	0.603579060615532
GSM519154	1184.26266385675	2316.21976548402	3500.48242934077	0.436746585010336
GSM519155	1198.67348234724	3245.46098196436	4444.1344643116	0.308353530926983
GSM519156	-485.174597998052	470.944269130047	-14.2303288680053	0.823695616497507
GSM519157	588.089154843787	377.876724126539	965.965878970326	0.733880092929472
GSM519158	1161.20312256217	2225.61591430644	3386.81903686862	0.451694190930683
GSM519159	1350.24854142515	2346.69718876505	3696.9457301902	0.410625880623727
GSM519160	1500.36409830269	2295.99240428676	3796.35650258945	0.397277274656266
GSM519161	1907.39647546652	3027.38126484013	4934.77774030665	0.239102073423676
GSM519162	1240.62148193352	1671.76427878096	2912.38576071449	0.512681161965167
GSM519163	1392.86162204241	1571.41581647136	2964.27743851376	0.506126472820442
GSM519164	2367.93003091276	2331.439338199	4699.36936911176	0.272505583788874
GSM519165	1111.91128900826	1696.54258053906	2808.45386954733	0.525719471860537
GSM519166	1185.08415398784	1592.56900999814	2777.65316398598	0.529560068914203
GSM519167	946.51093342639	1510.5666735258	2457.07760695219	0.568876097873201
GSM519168	970.639382047009	707.967527595152	1678.60690964216	0.658940316755848
GSM519169	320.864968370971	687.917825018256	1008.78279338923	0.72959633973197
GSM519170	993.505898674287	2199.01982030532	3192.5257189796	0.476951825967858
GSM519171	1773.06653244888	2206.66509187725	3979.73162432613	0.372434337325471
GSM519172	1589.66390921526	2288.91966629009	3878.58357550535	0.386172000911593
GSM519173	1885.49804478606	2302.30396048721	4187.80200527327	0.343919988420914
GSM519174	1440.7832116807	2946.3804372586	4387.1636489393	0.316297814062726
GSM519175	1330.16613118812	1265.43228535407	2595.59841654219	0.552037120153836
GSM519176	1198.19587947089	1029.15571592423	2227.35159539512	0.596280462095037
GSM519177	1566.58990295842	1415.8888849267	2982.47878788512	0.503820396211279
GSM519178	47.8706288123402	331.082132323758	378.952761136099	0.789616198724184
GSM519179	728.678286380223	1458.26125224412	2186.93953862434	0.601032028316266
GSM519180	1752.00178862445	2593.28535758734	4345.28714621178	0.322123199933346
GSM519181	823.353143850471	1649.07827138228	2472.43141523275	0.567021109274155
GSM519182	312.775698581071	158.528107462943	471.303806044015	0.781225887903333
GSM519183	45.7268837746038	201.405276173422	247.132159948025	0.801340659417259
GSM519184	1290.83273254058	2193.09043448031	3483.92316702088	0.438931919733916
GSM519185	196.610866813798	403.174158285896	599.785025099694	0.769314609412463
GSM519186	1361.50307196045	2526.43568978351	3887.93876174396	0.38490493045044
GSM519187	-204.405391899292	1831.90742495951	1627.50203306022	0.664564393318613
GSM519188	1928.15200648302	3163.21477832713	5091.36678481015	0.216722129647317
GSM519189	923.762230132773	1448.57014979241	2372.33237992518	0.579062449015948
GSM519190	415.75366148583	672.58574391988	1088.33940540571	0.721560452860357
