StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
TCGA-3C-AALJ-01	400.983645667541	539.314963757117	940.298609424658	0.736434168785326
TCGA-3C-AALK-01	799.21506062815	-2.78477890624846	796.430281721902	0.750555554071404
TCGA-4H-AAAK-01	1075.22595607151	-46.2995004585305	1028.92645561298	0.727571024385156
TCGA-5L-AAT0-01	971.77273258872	666.208211099969	1637.98094368869	0.663414229924482
TCGA-5T-A9QA-01	-1672.89200589107	-810.735401678723	-2483.62740756979	0.971238171123779
TCGA-A1-A0SB-01	-387.886785841264	-1441.4632797019	-1829.35006554317	0.943929355516648
TCGA-A1-A0SD-01	770.656915826876	-118.0626550159	652.594260810976	0.764339162331679
TCGA-A1-A0SE-01	507.751270275193	-619.254988703562	-111.503718428369	0.831707804995351
TCGA-A1-A0SF-01	427.380410584735	279.550904162055	706.931314746791	0.759171832774003
TCGA-A1-A0SG-01	544.104634877688	29.7206318198818	573.82526669757	0.771743491059732
TCGA-A1-A0SH-01	1473.07487081311	-88.4058574537346	1384.66901335938	0.69077171155674
TCGA-A1-A0SI-01	1265.98211742126	529.821263419332	1795.8033808406	0.645903375486438
TCGA-A1-A0SJ-01	417.515395711748	-341.214581248955	76.3008144627937	0.816087862225297
TCGA-A1-A0SK-01	-1442.62137507884	-1722.8762194494	-3165.49759452824	0.990170050463977
TCGA-A1-A0SM-01	792.385243239734	-29.142945525265	763.242297714469	0.753765831466675
TCGA-A1-A0SN-01	772.893313173447	587.558915018037	1360.45222819148	0.693337680279002
TCGA-A1-A0SO-01	-1274.13429448698	-1028.71127604926	-2302.84557053624	0.96457831167243
TCGA-A1-A0SP-01	-215.968410100011	410.648898967161	194.68048886715	0.80592264577405
TCGA-A1-A0SQ-01	-233.628684881661	-308.06952531977	-541.698210201431	0.865087178277296
TCGA-A2-A04P-01	209.509568575972	611.876383247602	821.385951823573	0.748129852208718
TCGA-A2-A04Q-01	808.288296997763	2359.0510094522	3167.33930644996	0.480198025461371
TCGA-A2-A04T-01	-400.325951949508	531.718192500103	131.392240550595	0.811387652137999
TCGA-A2-A04U-01	-358.846074717569	-802.817880912659	-1161.66395563023	0.907093932375805
TCGA-A2-A04V-01	671.928734704016	-87.1214957508771	584.807238953138	0.770717346624424
TCGA-A2-A04W-01	520.947637458839	-192.610194642442	328.337442816397	0.794153260359581
TCGA-A2-A04X-01	121.550192319283	1133.04731371427	1254.59750603355	0.704450591725241
TCGA-A2-A04Y-01	252.916876554407	750.640165407684	1003.55704196209	0.730120713988828
TCGA-A2-A0CL-01	1291.41129762123	2347.55622927997	3638.96752690119	0.41837084891511
TCGA-A2-A0CM-01	534.913382378118	1126.94299524404	1661.85637762216	0.660787808476086
TCGA-A2-A0CO-01	1069.76645025083	1356.77212574563	2426.53857599646	0.572557108416776
TCGA-A2-A0CP-01	953.233495766139	-167.32184319635	785.911652569788	0.751574953990094
TCGA-A2-A0CQ-01	-297.418417200271	292.525748307209	-4.89266889306151	0.822917634529705
TCGA-A2-A0CR-01	970.961731370099	2460.05146504617	3431.01319641627	0.445897032460915
TCGA-A2-A0CS-01	504.065338624823	29.4649196090036	533.530258233826	0.775491416744629
TCGA-A2-A0CT-01	-370.423347681665	-614.248928607699	-984.672276289363	0.895853192778313
TCGA-A2-A0CU-01	114.17331594927	-650.75842914018	-536.58511319091	0.864710445950165
TCGA-A2-A0CV-01	750.434409776226	392.349280535702	1142.78369031193	0.716004342390773
TCGA-A2-A0CW-01	-638.183527295717	20.9157642863446	-617.267763009373	0.870598194999718
TCGA-A2-A0CX-01	894.950204948156	477.390683050088	1372.34088799824	0.692079071194659
TCGA-A2-A0CZ-01	1402.61105444304	583.896845278332	1986.50789972137	0.624282557540224
TCGA-A2-A0D0-01	-1119.96198599167	352.695357968681	-767.266628022985	0.881219082023906
TCGA-A2-A0D1-01	-437.156529200591	-889.300816503341	-1326.45734570393	0.917009714581554
TCGA-A2-A0D2-01	25.2917750334493	458.737637206266	484.029412239716	0.780058447398363
TCGA-A2-A0D3-01	-369.341177010218	-47.5638973661442	-416.905074376363	0.855753757547329
TCGA-A2-A0D4-01	-528.00645252355	-993.087658146895	-1521.09411067044	0.928029663077366
TCGA-A2-A0EM-01	586.860536542913	-359.456740862998	227.403795679915	0.80306964527902
TCGA-A2-A0EO-01	1154.7547074597	337.228114793638	1491.98282225334	0.679296330807074
TCGA-A2-A0EP-01	1868.59942350004	2698.09797273943	4566.69739623947	0.291190396010808
TCGA-A2-A0EQ-01	181.094550603116	1790.31962195793	1971.41417256105	0.626011835098147
TCGA-A2-A0ER-01	-325.628993765772	-293.509750171218	-619.138743936989	0.870733282750957
TCGA-A2-A0ES-01	963.331452292722	129.134765209714	1092.46621750244	0.721140916050118
TCGA-A2-A0ET-01	-835.247607017536	-57.9644164869159	-893.212023504452	0.889807103504568
TCGA-A2-A0EU-01	66.481959726954	-550.176422965642	-483.694463238688	0.860784928837147
TCGA-A2-A0EV-01	846.163729410251	511.648862534748	1357.812591945	0.693616842627376
